State,Offense,"Juvenile 
male","Juvenile 
female","Adult 
male","Adult 
female"
Alaska,Commercial sex acts,0,0,3,0
,Involuntary servitude,0,0,0,0
Arizona,Commercial sex acts,0,0,0,0
,Involuntary servitude,0,0,20,14
Arkansas,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,0,0
California*,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,0,0
Colorado,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,1,1
Connecticut,Commercial sex acts,0,0,0,0
,Involuntary servitude,0,0,10,4
Indiana,Commercial sex acts,0,0,2,0
,Involuntary servitude,0,0,0,0
Louisiana,Commercial sex acts,0,0,6,1
,Involuntary servitude,0,0,4,5
Maryland,Commercial sex acts,0,0,12,1
,Involuntary servitude,0,0,4,0
Massachusetts,Commercial sex acts,0,0,2,0
,Involuntary servitude,0,0,0,0
Michigan,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,0,0
Minnesota,Commercial sex acts,0,0,195,11
,Involuntary servitude,0,0,0,0
Missouri,Commercial sex acts,1,0,7,2
,Involuntary servitude,0,0,1,1
Montana,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,0,0
Nevada,Commercial sex acts,0,1,27,5
,Involuntary servitude,0,0,6,1
North Dakota,Commercial sex acts,0,0,1,0
,Involuntary servitude,0,0,0,0
Oklahoma,Commercial sex acts,6,4,19,14
,Involuntary servitude,0,0,1,0
Rhode Island,Commercial sex acts,0,0,2,0
,Involuntary servitude,0,0,0,0
South Carolina,Commercial sex acts,0,0,4,2
,Involuntary servitude,0,0,0,0
Tennessee,Commercial sex acts,0,0,20,2
,Involuntary servitude,0,0,0,0
Texas,Commercial sex acts,1,39,352,119
,Involuntary servitude,0,0,9,5
Washington,Commercial sex acts,0,0,0,0
,Involuntary servitude,1,3,0,0
Wisconsin,Commercial sex acts,0,0,9,4
,Involuntary servitude,0,0,0,0
Wyoming,Commercial sex acts,0,0,1,1
,Involuntary servitude,0,0,1,0
